"","","Wales ","","Wales "
"","","West Wales and the Valleys ","East Wales ","."
"All industries ","",788300,549000,1337300
"All industries ","Agriculture, forestry and fishing ",23000,13100,36100
"","Production ",89100,65200,154400
"","Construction ",58900,32400,91300
"","Wholesale, retail, transport, hotels and food ",207700,139600,347300
"","Information and communication ",13300,13900,27200
"","Finance and insurance activities ",12500,18600,31100
"","Real estate activities ",11000,7800,18800
"","Professional, scientific and technical activities; administrative and support service activities ",70300,67000,137300
"","Public administration, defence, education and health ",259900,161100,421000
"","Other service activities ",42400,30400,72800


